DATE,TEAM,NAME,POSITION,CASE,CATEGORY,DESCRIPTION,OUTCOME
2/25/17,IND,David Parry,DT,Arrested,"DUI, resisting arrest","Suspected of stealing golf cart, driving drunk, resisting arrest in Scottsdale, Ariz.",Resolution undetermined.
12/17/16,SEA,Damontre Moore,DE,Arrested,DUI,"Suspected of driving while intoxicated in King County, Washington.",Resolution undetermined.
12/12/16,ARI,Michael Floyd,WR,Arrested,DUI,"Found unconscious in idle car in Scottsdale, charged with drunken driving.","Pleaded guilty to extreme DUI, 24 days in jail, 96 in home detention, 30 hours community service."
11/19/16,LAR,Troy Hill,CB,Arrested,DUI,Suspected of drunken driving after crashing into a big rig on the freeway.,Resolution undetermined.
11/1/16,PHI,Josh Huff,WR,Arrested,"DUI, drugs, gun","Pulled over and accused of drunken driving, marijuana possession and having an unloaded gun without a permit.",Resolution undetermined. Team released him later that week.
10/12/16,MIN,Isame Faciane,OG,Arrested,DUI,Charged with drunken driving after being pulled over for driving around barricades.,Resolution undetermined. Team released him later that week.
9/26/16,CLE,Alvin Bailey,OG,Arrested,DUI,Accused of operating a vehicle under the influence of alcohol and having drug paraphernalia in his car after returning from game in Miami.,"Pleaded no contest, found guilty, three-day intervention program. NFL suspended him two games."
9/16/16,TB,Austin Seferian-Jenkins,TE,Arrested,DUI,"Pulled over for speeding and driving erratically, accused of drunken driving in Tampa.","Pleaded no contest to reduced charge, one-year probation, 50 hours community service. Team released him same day."
7/14/16,BUF,Jonathan Williams,RB,Arrested,DUI,"Accused of driving while intoxicated in Fayetteville, Ark.",Resolution undetermined.
5/10/16,LAR,T.J. McDonald,S,Arrested,DUI,Suspected of hitting a parked car and driving under the influence of a substance other than alcohol.,"Pleaded guilty to misdemeanor, 200 hours community service, three years probation, alcohol program."
2/13/16,DEN,Shiloh Keo,S,Arrested,DUI,"Accused of drunken driving in Ada County, Idaho.","Pleaded guilty to misdemeanor, one year probation, community service, fined nearly $1,000."
12/25/15,CLE,De'Ante Saunders,S,Arrested,DUI,"Pulled over for speeding, cited for driving drunk. Gun found in car without permit.",Resolution undetermined. Team released him three days after arrest.
12/19/15,JAC,Justin Blackmon,LB,Arrested,DUI,"Accused of drunken driving in Carter County, Okla. Blackmon already was serving an indefinite NFL suspension at the time of his arrest.",Resolution undetermined.
8/6/15,SF,Aldon Smith,LB,Arrested,DUI,"Accused of hitting a parked vehicle with his vehicle, being under the influence of alcohol and vandalism in Santa Clara, Calif.",Resolution undetermined. Released by team the next day.
3/18/15,BAL,Bernard Pierce,RB,Arrested,DUI,Failed sobriety tests after his 2014 Ford Mustang was pulled over for speeding in Baltimore County.,Resolution undetermined. Team released him same day.
3/1/15,BAL,Victor Hampton,CB,Arrested,DUI,"Pulled over in Charlotte, accused of driving while impaired and driving 100 mph in a 55-mph zone.",Resolution undetermined. Team cut him the next day.
1/31/15,ARI,Bobby Massie,OT,Arrested,DUI,"Suspected of drunken driving in Arizona, he flunked two sobriety tests and had a blood-alcohol content of 0.14 percent.",Resolution undetermined. NFL suspended three games.
1/23/15,IND,Andrew Jackson,LB,Arrested,DUI,"Pulled over in Bowling Green, Ky., accused of drunk driving, blood-alcohol content of .088.","Pleaded guilty, 14 days of home confinement, fines and $1,000 in court costs, alcohol treatment program."
1/7/15,CHI,Tim Jennings,CB,Arrested,DUI,Pulled over for allegedly driving 99 mph in 65-mph zone in Georgia. Accused of drunken and reckless driving.,"Pleaded guilty to reckless driving, one year of probation, 40 hours community service, $1,050 in fines."
12/29/14,MIN,Jabari Price,CB,Arrested,DUI,"Pulled over for speeding, accused of misdemeanor drunken driving.","Pleaded guilty to careless driving, 30 days home detention, one year probation, $300 fine."
9/29/14,IND,Da'Rick Rogers,WR,Arrested,DUI,"Pulled over for swerving in Indianapolis, suspected of drunken driving.",Resolution undetermined. Team cut him later that day.
8/23/14,BUF,Alan Branch,DT,Arrested,DUI,"Accused of drunken driving, blood-alcohol content of 0.14, after police say they noticed him vomiting out of car door.","Pleaded guilty, $900 in fines and costs, six-month ignition interlock device required. Team released him the next day."
7/5/14,CLE,Josh Gordon,WR,Arrested,DUI,"Accused of driving while impaired after being pulled over for speeding in Raleigh, N.C.","Pleaded guilty, 60-day suspended sentence, $390 in fines and costs. NFL suspended for season, then reduced to 10 games."
6/29/14,ARI,John Abraham,LB,Arrested,DUI,Accused of drunken driving after an officer found him passed out behind the wheel of his car outside Atlanta.,Resolution undetermined.
6/24/14,IND,Andrew Jackson,LB,Charged,DUI,"Accused of drunk driving and speeding in Muncie, Ind.",Diversion program with 40 hours of community service and treatment program.
6/9/14,KC,Sean Smith,CB,Arrested,DUI,Accused of drunken driving after a police officer said he saw Smith drive his car into a pole in Kansas City.,"Pleaded guilty to DUI charge and failure to show proof of insurance, two years of probation, $895 fine."
2/20/14,WAS,Fred Davis,TE,Arrested,DUI,"Accused of drunk driving in Tysons Corner, Va., after passerby called police to report a man apparently asleep in his Rolls-Royce.",Charge dropped.
1/12/14,SEA,Spencer Ware,RB,Arrested,DUI,"Pulled over by Washington State Patrol, suspected of drunken driving in Seattle.",Charge dropped after judge ruled the arresting officer lacked reasonable suspicion in traffic stop.
1/1/14,MIN,Erin Henderson,LB,Arrested,"DUI, drugs",Accused of drunken driving for second time since November after allegedly crashing into trees in parking lot. Also accused of marijuana possession.,"Pleaded guilty to fourth-degree intoxicated driving, two years probation. Team released him next month."
11/19/13,MIN,Erin Henderson,LB,Arrested,DUI,"Failed breath test during traffic stop, suspected of drunk driving with blood-alcohol measured at 0.11. He said police didn't have grounds to stop his car.","Pleaded guilty to careless driving, one year of probation, 40 hours community service."
11/9/13,MIN,Jerome Simpson,WR,Arrested,DUI,Accused of drunk driving after police responded to a report of a stalled vehicle. He failed sobriety tests.,"Pleaded guilty to careless driving and refusing test, 120 days of community service."
11/1/13,ARI,Lequan Jefferson,TE,Arrested,DUI,Police in Arizona stopped him after report of a collision. Blood-alcohol measured at .156.,Resolution undetermined. Released by team within days.
9/20/13,SF,Aldon Smith,LB,Arrested,"DUI, drugs","Accused of drunk driving and marijuana possession after crashing his pickup truck in San Jose, Calif.","Pleaded no contest, three years of probation, 235 hours of community service for this and other guns case."
7/12/13,TB,Eric Wright,CB,Arrested,DUI,Arrested in Los Angeles on suspicion of drunken driving.,"Pleaded no contest to reckless driving, six months of drug treatment. Traded to San Francisco a week later."
7/11/13,NE,Alfonzo Dennard,CB,Arrested,DUI,"Pulled over around 2 a.m. in Lincoln, Neb., arrested on suspicion of drunken driving.","Pleaded no contest to refusing test, DUI charge dropped, probation, $500 fine."
5/31/13,CHI,Evan Rodriguez,FB,Arrested,DUI,Arrested for drunken driving after getting pulled over at 3:30 a.m.,Resolution undetermined. Released by team month after arrest.
5/29/13,NO,Joe Morgan,WR,Arrested,DUI,Arrested on drunken driving charge after being found asleep behind wheel on expressway in Louisiana,"Diversion program, counseling."
5/19/13,DEN,Quentin Saulsberry,C,Arrested,DUI,"Pulled over after 2 a.m., accused of drunken driving and lane violation in Arapahoe County, Colo.",Resolution undetermined.
5/5/13,SEA,Josh Portis,QB,Arrested,DUI,"Pulled over for speeding by Washington State trooper, accused of drunken driving.",Resolution undetermined. Cut by team later that month.
5/3/13,CLE,Armonty Bryant,DE,Arrested,DUI,"Accused of drunken driving in Ada, Okla. Blood-alcohol content of .098.","Pleaded no contest, $1,136 in fines and court costs, one-year deferred sentence."
3/22/13,STL,Trumaine Johnson,CB,Arrested,DUI,"Accused of misdmeanor drunken-driving in Missoula, Montana.","Pleaded guilty to reckless driving, 90-day suspended sentence, $2,500 donation to DUI task force."
2/23/13,TEN,Brandon Barden,TE,Arrested,DUI,Charged with drunken driving after single-car accident in Georgia. Car left road and flipped.,Charge dropped.
2/20/13,SF,Al Netter,OG,Arrested,DUI,"Charged with drunken driving in San Jose, Calif.",Resolution undetermined.
2/4/13,IND,Moise Fokou,LB,Arrested,DUI,Charged with drunk driving for arrest in January in Washington D.C.,Resolution undetermined.
1/22/13,DAL,Jay Ratliff,DT,Arrested,DUI,Accused of drunken driving after crashing his Ford pickup truck into an 18-wheeler.,Resolution undetermined.
12/8/12,DAL,Josh Brent,DT,Arrested,DUI,"Charged with intoxication manslaughter after flipping his car, killing teammate Jerry Brown. Police report blood-alcohol content at .189.","Convicted. Sentenced to 180 days in jail, 10 years probation."
11/30/12,SF,Demarcus Dobbs,TE,Arrested,DUI,Suspected of drunk driving and marijuana possession at 3:45 a.m. after crashing car on 25th birthday.,Resolution undetermined.
10/14/12,PIT,Alameda Ta'amu,DT,Arrested,DUI,"Accused of resisting arrest, eluding police and drunk driving after hitting several parked cars",Resolution undetermined.
9/18/12,ATL,Michael Turner,RB,Arrested,DUI,Charged with drunk driving just hours after scoring a touchdown in a win against Denver on Monday night.,Resolution undetermined.
7/20/12,TEN,Kenny Britt,WR,Arrested,DUI,Charged with drunken driving after trying to pass through security gate at Fort Campbell Army post in Kentucky.,"Found not guilty of DUI, guilty of refusing Breathalyzer test."
7/19/12,KC,Donald Washington,CB,Arrested,"DUI, drugs","Stopped for speeding by Illinois state police, who detected an odor of marijuana. Charged with DUI drugs.",Resolution undetermined.
7/14/12,SEA,Marshawn Lynch,RB,Arrested,DUI,"Pulled over in Oakland, Calif., and taken to Santa Rita Jail on DUI charge.",Resolution undetermined.
7/10/12,STL,Robert Quinn,DE,Arrested,DUI,Charged with driving while intoxicated and two other traffic charges.,Resolution undetermined.
7/2/12,TB,Eric Wright,CB,Arrested,DUI,Charged with felony drunk driving in Los Angeles after being involved in an accident that caused an injury.,District attorney declined to prosecute.
6/23/12,DET,Aaron Berry,CB,Arrested,DUI,"Arrested on suspicion of drunk driving in Harrisburg, Pa., after slamming into parked cars.",Diversion program.
6/10/12,NYG,David Diehl,OT,Arrested,DUI,"Arrested on DUI charge in Queens, N.Y. after hitting parked cars. Blood-alcohol content of .18.","Pleaded guilty to aggravated DUI, license restrictions, $1,200 in restitution."
6/3/12,JAC,Justin Blackmon,WR,Arrested,DUI,"Arrested in Stillwater, Okla.,on DUI charge after traffic stop. Blood-alcohol three times the limit.","Pleaded guilty, $500 fine, deferred sentence of one year."
6/2/12,MIN,Jerome Felton,FB,Arrested,DUI,Arrested on DUI charge in drive-thru lane at McDonald's.,Resolution undetermined.
5/27/12,DET,Nick Fairley,DT,Arrested,DUI,"Arrested on DUI charge and eluding police in Mobile, Ala., after being pulled over for going 100 mph.","Found guilty of reckless driving, acquitted of DUI, $500 fine."
4/26/12,WAS,Brandon Meriweather,S,Arrested,DUI,"Pulled over for speeding, charged with drunken driving after failing sobriety test in Arlington County, Virginia.","Pleaded no contest, $300 fine, 180-day suspended jail sentence."
4/7/12,OAK,Darrius Heyward-Bey,WR,Arrested,DUI,"Pulled over on Bay Bridge in California, charged with DUI.","Pleaded no contest, three years' probation, DUI classes."
2/1/12,DEN,Knowshon Moreno,RB,Arrested,DUI,"Charged with drunken driving after being pulled over for speeding. License plate reportedly was ""SAUCED.""","Pleaded guilty to driving while impaired, 30-day suspended jail sentence, 24 hours community service."
1/27/12,SF,Aldon Smith,LB,Arrested,DUI,Accused of drunken driving in Miami Beach.,Diversion program. Charge reduced to reckless driving.
9/20/11,MIN,Tyrell Johnson,S,Arrested,DUI,Accused of fourth-degree drunken driving with blood-alcohol content of 0.12.,Resolution undetermined.
8/7/11,MIN,Rhett Bomar,QB,Arrested,DUI,"Accused of third-degree drunk driving in Mankato, Minn.",Resolution undetermined.
8/2/11,DEN,Matt Prater,K,Arrested,DUI,Accused of drunk driving after allegedly backing his Chevy Trailblazer into parked car and fleeing the scene.,Resolution undetermined.
7/24/11,BUF,Paul Hubbard,WR,Arrested,DUI,Accused of drunk driving after his car hit a police officer. Blood-alcohol content measured at 0.08.,Resolution undetermined.
7/10/11,CIN,Adam Jones,CB,Arrested,Alcohol,Accused of disorderly conduct while intoxicated and resisting arrest at bar in Cincinnati.,Resolution undetermined.
7/9/11,PIT,Hines Ward,WR,Arrested,DUI,Accused of drunk driving in Georgia after being pulled over about 2:30 a.m.,"Pleaded guilty to reckless driving in plea deal. One year probation, $2,000 fine."
6/18/11,DET,Corey Williams,DT,Arrested,DUI,"Pulled over in Arkansas for crossing center line, accused of drunk driving. Breath test measured his blood-alcohol level at .10. His attorney alleged racial profiling.","Charge dropped by judge, according to court clerk."
5/6/11,SD,Antwan Applewhite,LB,Arrested,DUI,"Pulled over around 2:30 a.m. in San Diego, suspected of drunken driving.",Resolution undetermined.
2/12/11,OAK,Michael Bush,RB,Arrested,DUI,"Suspected of drunk driving in Clarksville, Ind.",Resolution undetermined.
12/27/10,WAS,Joe Joseph,DT,Arrested,DUI,"Police responded to report of single-car accident, accused him of drunk driving around 3 a.m.",Resolution undetermined.
12/26/10,BAL,Sergio Kindle,LB,Arrested,DUI,"Pulled over on suspicion of drunk driving in Jessup, Md. Measured .17 on a Breathalyzer test.","Pleaded guilty, two years probation, five days in a private facility."
11/19/10,TB,Mike Williams,WR,Arrested,DUI,"Pulled over on suspicion of drunken driving in Hillsborough County, Fla., despite Breathalyzer test showing legal blood-alcohol level.",Charges dropped when urine test came back clean.
11/13/10,SEA,Raheem Brock,DE,Arrested,DUI,Pulled over by University of Washington police on suspicion of drunken driving. Measured .13 on a Breathalyzer test.,Resolution undetermined.
11/12/10,DEN,D.J. Williams,LB,Arrested,DUI,Pulled over on suspicion on drunk driving in Denver at 2:40 a.m. Also cited for driving without headlights.,Convicted of DUI and sentenced to 30 days home arrest.
10/20/10,IND,Pat McAfee,P,Arrested,Alcohol,"Cited after he took a late-night swim in a canal and told police, ""I am drunk."" Officers said he had a .15 blood-alcohol content.",Diversion program in which he attended eight hours of community service and paid $298 fee. Suspended one game by the Colts.
10/5/10,CAR,Dwayne Jarrett,WR,Arrested,DUI,Pulled over for speeding after 2 a.m. and arrested on suspicion of driving under the influence.,Resolution undetermined. Cut by team same day of arrest.
9/21/10,NYJ,Braylon Edwards,WR,Arrested,DUI,Pulled over at 5:15 a.m. because police say his windows were too tinted; smelled of alcohol and blood-alcohol measured .16,"Pleaded guilty to misdemeanor. Deal included $500 fine, driver's license suspended for six months, entered into substance-abuse program."
9/3/10,IND,Fili Moala,DT,Arrested,DUI,Pulled over at 2:31 a.m. for speeding and cited with suspicion of driving under the influence. Blood-alcohol measured .10.,Convicted of misdemeanor operating a vehicle while intoxicated with a blood-alcohol count of .08 to .15 and public intoxication. Sentenced to 180 days probation.
8/8/10,CLE,Gerard Lawson,DB,Arrested,DUI,Cited with suspicion of driving under the influence after hitting a parked car and leaving the scene.,"Pleaded no contest and sentenced to one year of probation, 72 hours of an alternative to jail program, 20 hours of community work service and $500 fine. Also had license suspended for six months."
8/8/10,IND,John Gill,DT,Arrested,Alcohol,"Cited after found in a ditch on the side of the road, barefoot and slurring his speech.",Charged dropped. Gill entered treatment facility.
7/3/10,SEA,Quinton Ganther,RB,Arrested,DUI,Pulled over on suspicion for two misdemeanor counts of driving under the influence in Sacramento. State limit for BAC is .08.,Resolution undetermined.
7/1/10,TEN,Chris Simms,QB,Arrested,"DUI,drugs",Charged in New York City with driving while on drugs (marijuana) with his pregnant wife in the car.,Acquitted in May 2011
6/12/10,SF,Ray McDonald,DE,Arrested,DUI,"Pulled over in his black BMW when the California Highway Patrol clocked him at 94 mph in a 65-mph zone, given field sobriety test.",Resolution undetermined.
3/27/10,ARI,Joey Porter,LB,Arrested,"DUI, assault","Suspected of DUI and charged with assaulting an officer, resisting arrest after trying to help a friend who had been pulled over.",Charges dropped; prosecutor did not believe jury would find Porter guilty beyond a reasonable doubt.
3/19/10,MIA,Ronnie Brown,RB,Arrested,DUI,"Pulled over in Atlanta for failing to use a turn signal, then charged with DUI with reported blood-alcohol level at 0.158.",Resolution undetermined.
3/13/10,GB,Spencer Havner,TE,Arrested,DUI,"Arrested in Grass Valley, Calif., after crashing his motorcycle; taken to hospital, and found to be under the influence.","Charges dropped, not enough evidence"
2/20/10,MIA,Will Allen,CB,Arrested,DUI,Charged in Miami Beach after tried to get through police roadblock. Blood alcohol measured at .152 and .167.,Resolution undetermined.
2/19/10,WAS,Byron Westbrook,CB,Arrested,DUI,"Pulled over in Waldorf, Md., after his Mercedes crossed the center line several times, suspected of drunken driving.",Acquitted by jury in June 2010.
1/30/10,KC,Michael Richardson,CB,Arrested,Alcohol,"One of hundreds charged with being in possession of an open alcohol container, at the Gasparilla Parade in Tampa.",Resolution undetermined.
1/29/10,CIN,Rey Maualuga,LB,Arrested,DUI,"Charged with drunk driving in Covington, Ky., after police said he struck two parked vehicles and parking meter. Blood-alcohol .157.","Pleaded guilty, suspended seven-day sentence, two days' probation. NFL fined him for two games."
1/1/10,IND,Taj Smith,WR,Arrested,DUI,"Pulled over in Indianapolis after car crossed lane divider and was above 30 mph speed limit. Failed field sobriety, breath tests.",Resolution undetermined.
12/29/09,NO,Bobby McCray,DE,Arrested,DUI,"Pulled over for speeding in New Orleans at 4:30 a.m., refused breathalyzer test, accused of drunk driving, driving without registration.",Resolution undetermined.
11/16/09,ATL,Eric Weems,WR,Arrested,DUI,"Pulled over in Dekalb County, Georgia, accused of drunk driving.",Resolution undetermined.
10/27/09,TB,Marcus Johnson,OG,Arrested,DUI,"Suspected of DUI after being found asleep in a Chevy Impala at 4 a.m. in Tampa, Fla., refused breath tests.",Resolution undetermined. Cut by team less then 12 hours later.
10/18/09,PIT,Jeff Reed,K,Arrested,Alcohol,"Cited for resisting arrest, public intoxication in confrontation with police outside a Pittsburgh bar with teammate Matt Spaeth.","Diversion program, 40 hours community service, then cleared."
8/30/09,MIN,Cedric Griffin,CB,Arrested,DUI,"Accused of drunken driving after voluntarily pulling, possibly because he felt he was too impaired to drive in Minnesota.","Pleaded guilty to misdemeanor, two years probation, two days community service, $300 fine."
8/21/09,TEN,Chris Davis,WR,Arrested,DUI,"Pulled over for speeding in Nashville after 2 a.m., suspected of drunken driving. Consented to a breathalyzer test that measured 0.11 in blood alcohol content.",Resolution undetermined. Cut by team a few days after arrest.
6/20/09,SEA,Owen Schmitt,FB,Arrested,DUI,"Suspected of drunken driving after being seen by an officer weaving and following cars too closely in Black Diamond, Wa. Blood-alcohol measured at 0.151.","Pleaded guilty to reckless driving, one-year suspended jail sentence, 24 hours community service, $2,130 fines and fees."
5/17/09,HOU,Brandon Walker,OG,Arrested,DUI,"Accused of drunk driving in Norman, Okla., where he played college football.",Resolution undetermined. Released by team two days later.
5/3/09,NO,Biren Ealy,WR,Arrested,Alcohol,"Charged with lewd coduct, obscenity and disturbing the peace. Accused of being drunk, urinating in public and exposing himself to women with teammate.",Resolution undetermined. Cut by team two days after arrest.
5/3/09,NO,Kolomona Kapanui,TE,Arrested,Alcohol,"Charged with lewd conduct, obscenity and disturbing the peace. Accused of being drunk, urinating in public and exposing himself to women with teammate.",Resolution undetermined. Cut by team two days after arrest.
4/5/09,CIN,Leon Hall,CB,Arrested,DUI,Accused of drunken driving after being pulled over after 3 a.m. In Ohio. Breath test showed blood-alcohol content of 0.149.,"Pleaded guilty to reckless operation of a vehicle, 30-day suspended jail sentence, 64 hours community service, $250 fine."
4/1/09,CLE,Donte Stallworth,WR,Arrested,"DUI, manslaughter",Accused of striking and killing a pedestrian with his car in Miami March 14. Blood-alcohol content measured .126. Charged with DUI manslaughter.,"Pleaded guilty, 24 days in jail, two years of house arrest, 1,000 hours of community service. NFL suspended for 2009."
3/13/09,KC,David Macklin,CB,Arrested,DUI,"Pulled over after 3 a.m. in Newport News, Va., accused of drunken driving.","Convicted, six-month suspended sentence, $250 fine. The team cut him five days after arrest."
3/9/09,JAC,Matt Jones,WR,Arrested,Alcohol,"Accused of violating terms of previous plea deal in cocaine case. He tested positive for alcohol consumption, leading to his arrest in Arkansas.","Found guilty, six days in jail."
2/11/09,JAC,Reggie Williams,WR,Arrested,"DUI, drugs","Pulled over in Houston at about 2 a.m., charged with drunken driving and possession of .97 grams of marijuana.",Charges dropped.
2/1/09,SD,Jamal Williams,DT,Arrested,DUI,"Pulled over for speeding, accused of drunken driving but blood-alcohol content measured at under the legal limit of .08.","Pleaded guilty to a lane-change violation and speeding, required to take traffic safety class."
1/10/09,DAL,Anthony Spencer,LB,Arrested,"Alcohol, disorderly conduct","Bouncer at Indianapolis nightclub told police Spencer tried to punch him. Accused of public intoxication, disorderly conduct.",Resolution undetermined.
1/6/09,SD,Vincent Jackson,WR,Arrested,DUI,"Pulled over for speeding and weaving, failed sobriety tests in San Diego, accused of drunken driving in 2008 GMC Sierra.",Sentenced to four days in jail and five years of probation
11/13/08,NYG,Kareem McKenzie,OG,Arrested,DUI,"Pulled over in New Jersey, accused of drunken driving after cutting through a gas station parking lot.",Resolution undetermined.
10/18/08,TB,Matt McCoy,LB,Arrested,DUI,"Pulled over near his home in Tampa after 4 a.m., accused of drunk driving.",Resolution undetermined. Cut by team day of arrest.
9/28/08,NYG,Danny Ware,RB,Arrested,Alcohol,"Accused of being a pedestrian under the influence of alcohol after standing in road talking in Athens, Ga.",Resolution undetermined.
9/15/08,ATL,Lawyer Milloy,S,Arrested,DUI,"Accused of drunk driving, speeding after game in Atlanta.",Resolution undetermined.
9/14/08,OAK,Tommy Kelly,DT,Arrested,DUI,Pulled over on suspicion of drunk driving in Oakland.,Resolution undetermined.
8/30/08,CAR,Ricardo Colclough,CB,Arrested,DUI,Accused of driving while impaired just hours before team made its final cuts.,"Pleaded guilty to driving while impaired, 30-day suspended sentence. Released by team within a day."
6/22/08,TEN,Jevon Kearse,DE,Arrested,DUI,"Accused of drunk driving near Vanderbilt campus around 5 a.m., refused breath test.","Pleaded guilty to reduced charge of reckless driving, six months of probation, restricted license."
6/15/08,ATL,Daren Stone,S,Arrested,DUI,Suspected of drunk driving in downtown Atlanta.,Resolution undetermined.
6/7/08,CHI,Cedric Benson,RB,Arrested,DUI,"Accused of running a red light in Austin, Texas, suspected of drunk driving.",Case dropped. Grand jury declined to indict.
5/24/08,SF,Ezra Butler,LB,Arrested,"DUI, drugs","Pulled over in Nevada, accused of intoxicated driving and marijuana possession.",Resolution undetermined. Cut by team the next week.
5/10/08,SEA,Lofa Tatupu,LB,Arrested,DUI,"Pulled over in Kirkland, Wash., for speeding. Police measured blood-alcohol content at .155 or more.","Pleaded guilty, one day in jail, $1,255 fines and court costs."
5/3/08,CHI,Cedric Benson,RB,Arrested,DUI,"Accused of boating while intoxicated and resisting arrest on Lake Travis, Texas.",Case dropped. Grand jury declined to indict.
4/21/08,IND,Kenton Keith,RB,Arrested,Alcohol,"Accused of refusing to leave nightclub parking lot being cleared by police, trespassing, public intoxication, disorderly conduct.",Resolution undetermined.
4/13/08,SF,Donald Strickland,CB,Arrested,Alcohol,"Accused of running away from police in San Jose, public intoxication and resisting arrest.",Resolution undetermined.
3/16/08,HOU,Jacoby Jones,WR,Arrested,DUI,Accused of drunken driving while stuck in Houston traffic.,"Pleaded guilty, diversion program, education classes, alcohol-detection device placed in car."
3/11/08,CAR,Dwayne Jarrett,WR,Arrested,DUI,"Police say he ran a red light and crossed center line, accused of drunken driving with blood-alcohol content of 0.12 near Charlotte.","Pleaded guilty, surrended license, 24 hours of community service, $420 in court costs."
2/17/08,BUF,Roscoe Parrish,WR,Arrested,DUI,"Pulled over around 4:30 a.m. in Miami, suspected of drunk driving.",Resolution undetermined.
2/1/08,NYG,Adrian Awasom,DE,Arrested,DUI,"Pulled over about 3:10 a.m. in ARI, accused of extreme drunken driving two days before Super Bowl there.",--
2/1/08,MIA,Matt Roth,DE,Arrested,Alcohol,"Accused of public intoxication, refusing to leave bar in Iowa.","Pleaded guilty, paid $182 fine."
